dista [mm],"L(Current1,Current1) [uH]","L(Current3,Current1) [uH]","L(Current3,Current3) [uH]","CplCoef(Current1,Current3) []",Data_Type
173.3773377,108.5395001,9.862520836,107.3466962,0.091368613,
173.3973397,108.5412096,9.859753684,107.3452845,0.091343048,
173.4173417,108.5429207,9.856985792,107.3438688,0.09131748,
173.4373437,108.5446332,9.854217171,107.3424492,0.091291907,
173.4573457,108.5463472,9.851447835,107.3410255,0.091266329,
173.4773477,108.5480626,9.848677796,107.339598,0.091240747,
173.4973497,108.5497794,9.845907068,107.3381667,0.091215161,
173.5173517,108.5514976,9.843135661,107.3367315,0.091189571,
173.5373537,108.553217,9.840363591,107.3352926,0.091163977,
173.5573557,108.5549378,9.837590868,107.3338501,0.091138378,
173.5773577,108.5566597,9.834817506,107.3324039,0.091112776,
173.5973597,108.5583828,9.832043518,107.3309541,0.091087171,
173.6173617,108.560107,9.829268916,107.3295007,0.091061561,
173.6373637,108.5618324,9.826493713,107.3280439,0.091035948,
173.6573657,108.5635588,9.823717922,107.3265837,0.091010332,
173.6773677,108.5652862,9.820941555,107.32512,0.090984712,
173.6973697,108.5670146,9.818164626,107.3236531,0.090959088,
173.7173717,108.5687439,9.815387146,107.3221828,0.090933462,
173.7373737,108.5704741,9.812609129,107.3207093,0.090907832,
173.7573757,108.5722052,9.809830587,107.3192327,0.0908822,
173.7773777,108.5739371,9.807051533,107.3177528,0.090856564,
173.7973797,108.5756697,9.80427198,107.31627,0.090830926,
173.8173817,108.5774031,9.801491941,107.314784,0.090805285,
173.8373837,108.5791371,9.798711427,107.3132951,0.090779641,
173.8573857,108.5808719,9.795930453,107.3118033,0.090753995,
173.8773877,108.5826072,9.79314903,107.3103086,0.090728346,
173.8973897,108.5843431,9.790367171,107.3088111,0.090702695,
173.9173917,108.5860795,9.78758489,107.3073107,0.090677042,
173.9373937,108.5878164,9.784802198,107.3058077,0.090651386,
173.9573957,108.5895537,9.782019109,107.304302,0.090625729,
173.9773977,108.5912915,9.779235635,107.3027936,0.090600069,
173.9973997,108.5930296,9.776451789,107.3012827,0.090574407,
174.0174017,108.594768,9.773667584,107.2997692,0.090548744,
174.0374037,108.5965067,9.770883032,107.2982533,0.090523079,
174.0574057,108.5982457,9.768098146,107.2967349,0.090497412,
174.0774077,108.5999848,9.765312939,107.2952141,0.090471744,
174.0974097,108.6017241,9.762527424,107.2936911,0.090446074,
174.1174117,108.6034636,9.759741613,107.2921657,0.090420403,
174.1374137,108.6052031,9.756955519,107.2906381,0.09039473,
174.1574157,108.6069426,9.754169154,107.2891084,0.090369057,
174.1774177,108.6086822,9.751382532,107.2875765,0.090343382,
174.1974197,108.6104217,9.748595665,107.2860426,0.090317707,
174.2174217,108.6121611,9.745808566,107.2845066,0.09029203,
174.2374237,108.6139004,9.743021247,107.2829687,0.090266353,
174.2574257,108.6156395,9.740233722,107.2814288,0.090240675,
174.2774277,108.6173784,9.737446003,107.2798871,0.090214996,
174.2974297,108.6191171,9.734658102,107.2783435,0.090189317,
174.3174317,108.6208555,9.731870033,107.2767982,0.090163637,
174.3374337,108.6225935,9.729081808,107.2752511,0.090137957,
174.3574357,108.6243312,9.72629344,107.2737024,0.090112277,
174.3774377,108.6260684,9.723504942,107.2721521,0.090086597,
174.3974397,108.6278053,9.720716325,107.2706002,0.090060916,
174.4174417,108.6295416,9.717927604,107.2690467,0.090035236,
174.4374437,108.6312774,9.715138791,107.2674918,0.090009556,
174.4574457,108.6330126,9.712349898,107.2659355,0.089983876,
174.4774477,108.6347472,9.709560938,107.2643778,0.089958196,
174.4974497,108.6364811,9.706771925,107.2628188,0.089932516,
174.5174517,108.6382144,9.70398287,107.2612586,0.089906837,
174.5374537,108.6399469,9.701193786,107.2596971,0.089881159,
174.5574557,108.6416786,9.698404686,107.2581344,0.089855481,
174.5774577,108.6434095,9.695615583,107.2565707,0.089829805,
174.5974597,108.6451396,9.69282649,107.2550058,0.089804129,
174.6174617,108.6468687,9.690037419,107.25344,0.089778454,
174.6374637,108.6485969,9.687248382,107.2518732,0.089752779,
174.6574657,108.6503241,9.684459394,107.2503055,0.089727107,
174.6774677,108.6520503,9.681670466,107.2487369,0.089701435,
174.6974697,108.6537755,9.678881611,107.2471675,0.089675765,
174.7174717,108.6554995,9.676092841,107.2455973,0.089650096,
174.7374737,108.6572224,9.673304171,107.2440264,0.089624428,
174.7574757,108.6589441,9.670515611,107.2424549,0.089598762,
174.7774777,108.6606646,9.667727176,107.2408827,0.089573098,
174.7974797,108.6623838,9.664938877,107.23931,0.089547436,
174.8174817,108.6641017,9.662150728,107.2377368,0.089521775,
174.8374837,108.6658183,9.65936274,107.2361631,0.089496117,
174.8574857,108.6675335,9.656574928,107.234589,0.08947046,
174.8774877,108.6692472,9.653787303,107.2330146,0.089444806,
174.8974897,108.6709595,9.650999879,107.2314398,0.089419154,
174.9174917,108.6726702,9.648212667,107.2298648,0.089393504,
174.9374937,108.6743794,9.645425681,107.2282896,0.089367857,
174.9574957,108.676087,9.642638934,107.2267142,0.089342212,
174.9774977,108.677793,9.639852438,107.2251387,0.08931657,
174.9974997,108.6794973,9.637066206,107.2235631,0.08929093,
175.0175018,108.6811999,9.63428025,107.2219876,0.089265294,
175.0375038,108.6829007,9.631494584,107.2204121,0.08923966,
175.0575058,108.6845998,9.628709219,107.2188367,0.089214029,
175.0775078,108.686297,9.62592417,107.2172614,0.089188401,
175.0975098,108.6879923,9.623139448,107.2156863,0.089162777,
175.1175118,108.6896857,9.620355066,107.2141115,0.089137155,
175.1375138,108.6913771,9.617571037,107.212537,0.089111537,
175.1575158,108.6930666,9.614787374,107.2109628,0.089085923,
175.1775178,108.694754,9.612004089,107.209389,0.089060312,
175.1975198,108.6964393,9.609221195,107.2078156,0.089034704,
175.2175218,108.6981225,9.606438705,107.2062428,0.089009101,
175.2375238,108.6998035,9.603656631,107.2046705,0.088983501,
175.2575258,108.7014823,9.600874987,107.2030988,0.088957905,
175.2775278,108.7031589,9.598093784,107.2015278,0.088932313,
175.2975298,108.7048332,9.595313037,107.1999574,0.088906725,
175.3175318,108.7065052,9.592532756,107.1983878,0.088881141,
175.3375338,108.7081748,9.589752956,107.196819,0.088855562,
175.3575358,108.709842,9.586973649,107.1952511,0.088829987,
175.3775378,108.7115067,9.584194847,107.193684,0.088804416,
175.3975398,108.713169,9.581416563,107.1921179,0.08877885,
175.4175418,108.7148287,9.578638811,107.1905528,0.088753289,
175.4375438,108.7164859,9.575861602,107.1889888,0.088727732,
175.4575458,108.7181404,9.573084949,107.1874259,0.08870218,
175.4775478,108.7197923,9.570308866,107.1858641,0.088676633,
175.4975498,108.7214415,9.567533364,107.1843035,0.088651091,
175.5175518,108.7230879,9.564758457,107.1827442,0.088625555,
175.5375538,108.7247316,9.561984158,107.1811862,0.088600023,
175.5575558,108.7263725,9.559210478,107.1796295,0.088574497,
175.5775578,108.7280105,9.556437431,107.1780743,0.088548976,
175.5975598,108.7296456,9.55366503,107.1765205,0.08852346,
175.6175618,108.7312778,9.550893287,107.1749682,0.08849795,
175.6375638,108.732907,9.548122214,107.1734174,0.088472446,
175.6575658,108.7345332,9.545351826,107.1718683,0.088446948,
175.6775678,108.7361563,9.542582133,107.1703208,0.088421455,
175.6975698,108.7377764,9.53981315,107.1687751,0.088395968,
175.7175718,108.7393932,9.537044888,107.167231,0.088370487,
175.7375738,108.7410069,9.534277361,107.1656889,0.088345013,
175.7575758,108.7426174,9.531510581,107.1641485,0.088319544,
175.7775778,108.7442246,9.528744561,107.1626101,0.088294082,
175.7975798,108.7458285,9.525979314,107.1610736,0.088268627,
175.8175818,108.7474291,9.523214852,107.1595392,0.088243178,
175.8375838,108.7490263,9.520451188,107.1580068,0.088217735,
175.8575858,108.75062,9.517688335,107.1564765,0.088192299,
175.8775878,108.7522103,9.514926305,107.1549484,0.08816687,
175.8975898,108.7537971,9.512165112,107.1534225,0.088141448,
175.9175918,108.7553803,9.509404767,107.1518988,0.088116032,
175.9375938,108.7569599,9.506645284,107.1503775,0.088090624,
175.9575958,108.7585359,9.503886676,107.1488585,0.088065223,
175.9775978,108.7601083,9.501128955,107.147342,0.088039829,
175.9975998,108.7616769,9.498372133,107.1458279,0.088014442,
176.0176018,108.7632418,9.495616225,107.1443163,0.087989063,
176.0376038,108.7648028,9.492861241,107.1428073,0.087963691,
176.0576058,108.7663601,9.490107195,107.1413009,0.087938327,
176.0776078,108.7679134,9.4873541,107.1397972,0.08791297,
176.0976098,108.7694629,9.484601969,107.1382962,0.087887622,
176.1176118,108.7710084,9.481850814,107.1367979,0.087862281,
176.1376138,108.7725499,9.479100647,107.1353025,0.087836948,
176.1576158,108.7740873,9.476351482,107.1338099,0.087811623,
